episode,speaker,line
Your Shoe's Untied,Squidward,spongebob
Your Shoe's Untied,SpongeBob,i'll just make another doh
Your Shoe's Untied,Squidward,sponge
Your Shoe's Untied,SpongeBob,hold it doy let me just doy
Your Shoe's Untied,Old Man Jenkins,what's the holdup
Your Shoe's Untied,Squidward,i think my heart just stopped it's sponge bob's fault
Your Shoe's Untied,SpongeBob,i've failed my career is over i'm sorry spatula i'm sorry hat i'm sorry floor i am sorry krabby patties
Your Shoe's Untied,Mr. Krabs,let's see a five-letter word for happiness money
Your Shoe's Untied,Customer,this is the worst service we've ever had we're going to the chum bucket
Your Shoe's Untied,Mr. Krabs,wait wait don't go
Your Shoe's Untied,Harold,oh yeah we are definitely out of here
Your Shoe's Untied,Mr. Krabs,wait wait don't go that's me money walking out the door what's the meaning of this mr squidward
Your Shoe's Untied,Squidward,it's spongebob's fault
Your Shoe's Untied,Mr. Krabs,spongebob get out here more more all the way boy what be the matter spongebob i ought to make you walk the plank for this
Your Shoe's Untied,SpongeBob,i'm sorry mr krabs it's just that i i
Your Shoe's Untied,Mr. Krabs,yes
Your Shoe's Untied,SpongeBob,i i i i i i
Your Shoe's Untied,Mr. Krabs,yes yes yes
Your Shoe's Untied,SpongeBob,i i i i i
Your Shoe's Untied,Mr. Krabs,out with it boy what is it
Your Shoe's Untied,SpongeBob,i forgot how to tie my shoes
Your Shoe's Untied,Mr. Krabs,that's all
Your Shoe's Untied,SpongeBob,so you'll show me how
Your Shoe's Untied,Mr. Krabs,i don't wear shoes
Your Shoe's Untied,SpongeBob,could you show me how to tie my shoes
Your Shoe's Untied,Tom,uh fins
Your Shoe's Untied,SpongeBob,could you show me how to tie my shoes
Your Shoe's Untied,Eel,well i would but sadly i am only an eel
Your Shoe's Untied,SpongeBob,could any of you show me how to tie my laces could you you you you or you show me how to tie a knot could you show me how to tie a simple knot could you show me how to tie my shoes could you show me how to tie my shoes
Your Shoe's Untied,Painty,arr i be just a painting of a head
Your Shoe's Untied,SpongeBob,doesn't anybody know how to tie a knot
Your Shoe's Untied,Flying Dutchman,did somebody say knot
Your Shoe's Untied,SpongeBob,i did
Your Shoe's Untied,Flying Dutchman,so you want to tie knots do ya well do ya
Your Shoe's Untied,SpongeBob,yes please mr flying dutchman sir
Your Shoe's Untied,Flying Dutchman,then you've come to the right flying ghost kid you're looking at the first place winner in the fancy knottin' contest for the last 3 000 years
Your Shoe's Untied,SpongeBob,hooray
Your Shoe's Untied,Flying Dutchman,you're gonna have to not do that and stop staring at me with them big old eyes now stand back and watch me be knotty haha behold the pretzel knot
Your Shoe's Untied,SpongeBob,ooh
Your Shoe's Untied,Flying Dutchman,the double diamond knot the square knot the constrictor the gut knot the pillow knot the butterfly knot
Your Shoe's Untied,SpongeBob,ooh
Your Shoe's Untied,Flying Dutchman,wait there's more the monkey chain the monkey's fist the monkey
Your Shoe's Untied,Monkey Knot,ooh ooh
Your Shoe's Untied,Flying Dutchman,this one here's a loop knot otherwise known as the 'poop loop'
Your Shoe's Untied,Rope,poop
Your Shoe's Untied,SpongeBob,those are great mr flying dutchman sir now can you show me how to tie my shoes
Your Shoe's Untied,Flying Dutchman,i don't know how to tie me shoes i haven't worn shoes for over 5 000 years but sometimes i like to wear this little sock over me ghostly tail
Your Shoe's Untied,Gary,meow
Your Shoe's Untied,SpongeBob,not now gary
Your Shoe's Untied,Gary,meow
Your Shoe's Untied,SpongeBob,i'm not in the mood gary
Your Shoe's Untied,Gary,meow meow
Your Shoe's Untied,SpongeBob,just leave me and me untied shoes alone gary okay gary you have my attention
Your Shoe's Untied,Gary,meow
Your Shoe's Untied,SpongeBob,gary well i'll be you can tie shoes hoppin' clams how did you learn to do that
Your Shoe's Untied,Ween,wanna learn how to tie your shoe it's a very easy thing to do just sit on down and i'll give you the scoop what's that it's called the loop-dee-loop you gotta take a lace in each hand you go over and under again you make a loop-dee-loop and pull and your shoes are lookin' cool you go over and back left to right loop-dee-loop and you pull 'em tight like bunny ears or a christmas bow lace 'em up and you're ready to go you make a loop-dee-loop and pull and your shoes are lookin' cool you make a loop-dee-loop and pull and your shoes are lookin' cool
Squid's Day Off,Narrator,ah beautiful springtime a time for fun and frolic for most but not for this poor slob
Squid's Day Off,Squidward,oh what a beautiful day and here i am trapped in a prison of high cholesterol no one ever comes in on sunday why can't mr krabs just let us go home spongebob stop ringing this bell
Squid's Day Off,SpongeBob,i was just testing it
Squid's Day Off,Squidward,i will ring the bell when there's an order but there's no customers there hasn't been one all day and there isn't gonna be any
Squid's Day Off,SpongeBob,one krabby patty coming up
Squid's Day Off,Squidward,no
Squid's Day Off,Mr. Krabs,that sounds like me money dropping what's going on out here my babies get away you barbarian what have you done nice clean money soiled i'll take care of ya let papa clean ya up clear the way no no no don't cry little ones
Squid's Day Off,SpongeBob,what's wrong mr krabs
Squid's Day Off,Mr. Krabs,me dime no i got it boy what the it's stuck you gotta help me spongebob
Squid's Day Off,SpongeBob,you've gotta let go of the dime
Squid's Day Off,Mr. Krabs,i can think of ten good reasons to never let go of a dime boy there's got to be another way grab me captain's quarters and heave me arms
Squid's Day Off,SpongeBob,oh no not again
Squid's Day Off,Mr. Krabs,wait squidward i'm putting you in charge of things around here while i'm gone
Squid's Day Off,Squidward,you can count on me sir take care hurry back get well soon you're in our thoughts takes more muscles to frown than to smile okay spongebob let's get down to business my first official act as new manager is to give you a promotion
Squid's Day Off,SpongeBob,ahh really
Squid's Day Off,Squidward,you get to run the cash register
Squid's Day Off,SpongeBob,the cash register wow squidward who's gonna work the grill
Squid's Day Off,Squidward,you are-- it's part of the promotion i mentioned earlier you'll be wearing two hats now you're gonna take the orders and then you're gonna make them
Squid's Day Off,SpongeBob,ah this is the best day of my life
Squid's Day Off,Squidward,me too
Squid's Day Off,SpongeBob,but wait if i'm running the register and the grill what are you gonna do
Squid's Day Off,Squidward,i've got some very important boss-like errands to run see ya later
Squid's Day Off,SpongeBob,squidward
Squid's Day Off,Squidward,what is it
Squid's Day Off,SpongeBob,you forgot to teach me how to use the cash register
Squid's Day Off,Squidward,you push the button and put the money inside okay you're on your own
Squid's Day Off,SpongeBob,i can't believe this is really happening today i start living
Squid's Day Off,Squidward,well squidward you've really outdone yourself this time a beautiful day of relaxing and pampering with pay hmm i guess i do kinda feel bad for poor little spongebob all by his lonesome oh oh it'll pass he's probably just standing at the register with that stupid grin on his face
Squid's Day Off,Thought Patrick,hey spongebob
Squid's Day Off,Thought SpongeBob,hey patrick
Squid's Day Off,Thought Patrick,hey spongebob could you give me change for a quarter
Squid's Day Off,Thought SpongeBob,no problem here ya go
Squid's Day Off,Thought Patrick,thanks
Squid's Day Off,Squidward,i forgot to tell him how to make change oh sponge bob
Squid's Day Off,SpongeBob,hi squidward all done with those errands
Squid's Day Off,Squidward,no i am not i just remembered i needed change for this dollar
Squid's Day Off,SpongeBob,do you want four quarters or ten dimes or twenty nickels or one hundred pennies or one quarter three dimes seven nickels and ten pennies or if you give me a five dollar bill your options are
Squid's Day Off,Squidward,alright goodbye this is great my day off no worries just relaxation i'm the boss i deserve this ah
Squid's Day Off,Squidward,everything will be fine there won't be any customers today anyway he'll probably just stand there bored spongebob bored
Squid's Day Off,Thought SpongeBob,ehh gettin' kinda bored
Squid's Day Off,Squidward,oh what am i doing i am wasting valuable relaxing time that's what i'm doing i mean really what are the odds spongebob setting the krusty krab on fire
Squid's Day Off,SpongeBob,may i help you sir
Squid's Day Off,Squidward,it's me you dunce
Squid's Day Off,SpongeBob,oh hi squidward how are those errands going
Squid's Day Off,Squidward,what's that supposed to mean i'm very busy
Squid's Day Off,SpongeBob,well i'm sure you are
Squid's Day Off,Squidward,i don't like your tone
Squid's Day Off,SpongeBob,i'm sure you are how's that
Squid's Day Off,Squidward,just do your jobs
Squid's Day Off,SpongeBob,aye-aye mr tentacles boy no wonder mr krabs put him in charge
Squid's Day Off,Squidward,must re lax look at yourself you're losing your bluish glow stop worrying so much now repeat after me you will not go back to the krusty krab
Squid's Day Off,Mirror SpongeBob,i will destroy the krusty krab
Squid's Day Off,Squidward,spongebob
Squid's Day Off,SpongeBob,have you finished
Squid's Day Off,Squidward,no that's it that's it no matter what sick fantasies run through my mind i will not go back to that restaurant
Squid's Day Off,SpongeBob,have you finished those errands have you finished those errands have you finished those errands have you finished those errands have you finished those errands have you finished those errands have you finished those errands
Squid's Day Off,Squidward,no i am not finished with those errands and i never will be so quit checking up on me i know what you're up to forcing me to come back here every time you mess up
Squid's Day Off,SpongeBob,but i haven't
Squid's Day Off,Squidward,okay maybe you haven't messed up yet but you will you will and when you do i'll be there i'll be there
Squid's Day Off,SpongeBob,gosh squidward sure is a hard worker he makes me proud to wear these hats
Squid's Day Off,Squidward,there now i'll have to stay here and enjoy myself i'm not even gonna think about you-know-who at the you-know-what doing i-don't-care just gonna relax let squid's day off begin what was that it's spongebob he's spying on me to see if i'm really doing errands but but he left his post and i've finally caught him messing up aha i caught you sponge branch heh here's that rubber duck mr krabs wanted me to get i've got you now wait'll mr krabs finds out you're a toilet you're losin' it squidward calm down if i let this get to me again i'll just end up running down to the krusty krab bursting through the front door up to that yellow headache spongebob and he'll say
Squid's Day Off,SpongeBob,hi squidward are you finished with those errands yet
Squid's Day Off,Squidward,aha i know you're in here what he's heading back to the krusty krab i'll beat him there i've got you now spongebob
Squid's Day Off,Sadie,hey put some clothes on
Squid's Day Off,Squidward,the truth will be revealed
Squid's Day Off,Patrick,whoa-ho right on squidward
Squid's Day Off,Purple Doctorfish,okay mr krabs get plenty of rest and if things don't seem right come back
Squid's Day Off,Mr. Krabs,thanks doc
Squid's Day Off,Squidward,spongebob you can't beat me aha i caught you now you didn't think i knew you were a stick outside my window ha or the toilet in my bathroom and then you were in my bathtub and i and-and you and i and then you swam down the drain and beat me to the krusty krab
Squid's Day Off,SpongeBob,uh does that mean you're
Squid's Day Off,Squidward,yes spongebob i am finished with those errands i guess i want to take my place back at the cash register i really do
Squid's Day Off,SpongeBob,then you might wanna put these on hmm hey squidward you know what look we forgot to switch the closed sign to open it's almost like we could've taken the whole day off
Something Smells,SpongeBob,wow it's sunday gary guess what's for breakfast
Something Smells,Gary,meow
Something Smells,SpongeBob,that's right a sundae whoops looks like we're out of ice cream guess i'll have to use something else ketchup hmmm bananas cherries boring ah here we go onions ready gary
Something Smells,Gary,meow
Something Smells,SpongeBob,just one more thing pea nuts gary our peanuts jar is totally empty hmmm wait i know one other place we can find peanuts good thing i still have these peanut plants growing in the windowsill a little texture never hurt there we go this sundae's gonna taste great aren't you going to help me gary gary oh well more for me you know what they say gary i'm easy like sunday morning okay let's see my to-do list go to work go to work go to work go to work go to work wait that's not right i need the one for sunday ah here we go 'say hi to everyone in bikini bottom' hello some people are even late on sunday hi mailfish hi mrs crossing guard
Something Smells,Mrs. Crossing Guard,mother of mercy
Something Smells,SpongeBob,wow a parade hi parade hi tuba player hi drummer hi guy with the cymbals hi trumpeter hi tambourine girl hi timbale man hi didgeridoo player hi triangle player hi guy with the kettle drum hi pianist hi guy with the flute and heeelllooo dolly
Something Smells,Fish bands,my leg my leg
Something Smells,SpongeBob,was it something i said something weird is going on today everyone is running away from me and now giant piles of bubble gum oh what next
Something Smells,Patrick,hi spongebob
Something Smells,SpongeBob,oh hi patrick i'm confused
Something Smells,Patrick,yes i am
Something Smells,SpongeBob,patrick everyone is running away from me watch hi building i just don't get it
Something Smells,Patrick,i don't either maybe it's the way you're dressed
Something Smells,Both,nah
Something Smells,Patrick,maybe it's your voice
Something Smells,SpongeBob,good one patrick
Something Smells,Patrick,well maybe it's just because you're ugly
Something Smells,SpongeBob,ugly you gotta be kiddin' me
Something Smells,Patrick,better try the reflection test
Something Smells,SpongeBob,hi
Something Smells,Patrick,ugly
Something Smells,SpongeBob,oh no i can't be ugly i can't be i can't be ugly am i ugly am i ugly
Something Smells,Driver,my eyes
Something Smells,SpongeBob,oof i'm ugly
Something Smells,Patrick,spongebob can i borrow some bath beads spongebob
Something Smells,SpongeBob,go run away like all the others no one would want a friend as ugly as i am
Something Smells,Patrick,sure they would it makes them feel better about the way they look maybe a story will cheer you up it's called 'the ugly barnacle ' once there was an ugly barnacle he was so ugly that everyone died the end
Something Smells,SpongeBob,that didn't help at all how long how long have i been ugly patrick
Something Smells,Patrick,as long as i can remember you poor ugly thing you
Something Smells,SpongeBob,help me i'm so ashamed i'm spiraling i'm spiraling thanks patrick it's okay patrick spiraling over
Something Smells,Patrick,just do what i do when i have problems scream come on buddy i'll help you okay now say it say it
Something Smells,SpongeBob,i can't
Something Smells,Patrick,spongebob you're never going to feel better unless you get this thing off your chest
Something Smells,SpongeBob,i know patrick
Something Smells,Patrick,say it say it
Something Smells,SpongeBob,i'm ugly
Something Smells,Patrick,you're ugly and what
Something Smells,SpongeBob,square
Something Smells,Patrick,no proud
Something Smells,SpongeBob,i'm ugly and i'm proud
Something Smells,Patrick,good say it louder
Something Smells,SpongeBob,i'm ugly and i'm proud
Something Smells,Patrick,louder
Something Smells,SpongeBob,i'm ugly and i'm proud
Something Smells,Patrick,louder
Something Smells,SpongeBob,i'm ugly and i'm proud i'm ugly and i'm proud i'm ugly and i'm proud
Something Smells,Squidward,is that what he calls it
Something Smells,SpongeBob,that felt great i feel empowered
Something Smells,Patrick,so whaddya wanna do now
Something Smells,SpongeBob,i don't know how about a movie pardon me ugly sponge coming through
Something Smells,Patrick,people respect self esteem
Something Smells,SpongeBob,hi i am very ugly but you should enjoy the movie anyway excuse me sir i hope my horrible ugliness won't be a distraction to you
Something Smells,Fred,not at all boy
Something Smells,Patrick,don't worry about him spongebob he's just a- spongebob spongebob what's wrong
Something Smells,SpongeBob,i can't do this patrick i've tried and i've tried but i'm not always as confident as i look maybe i'd better just go back and hide
Something Smells,Patrick,what is wrong with you people afraid to look ugliness in the face well here look at it it's ugly isn't it you look at it
Something Smells,SpongeBob,hello
Something Smells,Patrick,you look at it
Something Smells,SpongeBob,hi
Something Smells,Patrick,look at it look at it look at it look at it i want all of you to look at it
Something Smells,SpongeBob,they all ran away patrick
Something Smells,Patrick,i bet there's no line at the snack bar hello hello they must be on break
Something Smells,SpongeBob,oh wait patrick i just remembered i've got some of my peanut-onion sundae we can share
Something Smells,Patrick,that looks great oh i gotta go to the restroom i'm out of soap can i borrow-
Something Smells,Martin,stay back
Something Smells,Patrick,i just want some-
Something Smells,Martin,here here's my money take it take it and go away
Something Smells,Patrick,my hands aren't that dirty hey you guys want to hear a bathroom joke
Something Smells,Indignant Fish,you tryin' to kill us
Something Smells,Patrick,oh oh i caught the ugly
Something Smells,SpongeBob,patrick is everything okay in here what are you doing in there patrick
Something Smells,Patrick,wouldn't you like to know
Something Smells,SpongeBob,and why is that bag on your head
Something Smells,Patrick,why oh no reason except you gave me the ugly what am i gonna do i can't go out looking like this
Something Smells,SpongeBob,just remember what we talked about there's power in pride
Something Smells,Patrick,that may be fine for you but i was one of the beautiful people now look at me i'm almost as ugly as you i always thought if i was as ugly as that guy i don't know what i'd do
Something Smells,SpongeBob,patrick
Something Smells,Patrick,what's my mom gonna say
Something Smells,SpongeBob,patrick
Something Smells,Patrick,oh my gosh if my sister finds out wait i don't have a sister if the bank i mean it's one thing if you have bad shoes or even bad hair but
Something Smells,SpongeBob,patrick you're not ugly your breath stinks really bad
Something Smells,Patrick,ahhhhhhhh what a relief
Something Smells,SpongeBob,arrgh barnacles patrick what did you eat
Something Smells,Patrick,oh some roast beef some chicken a pizza
Something Smells,SpongeBob,no i mean just this morning
Something Smells,Patrick,some roast beef some chicken a pizza
Something Smells,SpongeBob,what else
Something Smells,Patrick,well i had some of your sundae
Something Smells,SpongeBob,sundae patrick my sundae gave us rancid breath
Something Smells,Patrick,whatcha mean
Something Smells,SpongeBob,i mean we're not ugly we just stink
Something Smells,Patrick,stink
Something Smells,Both,we stink we stink we stink we stink we stink we stink
Something Smells,SpongeBob,oh guess what squidward
Something Smells,Both,we stink we're smelly i reek smell me
Bossy Boots,Mr. Krabs,attention attention all krusty krew employees attention get the anchors out of your pants and report to me office that will be all i have an important announcement to make
Bossy Boots,SpongeBob,woo hooray the new spatulas are here
Bossy Boots,Mr. Krabs,sit down boy there's no new spatulas
Bossy Boots,Squidward,how disappointing
Bossy Boots,Mr. Krabs,you may know me daughter pearl she's growing up fast it seems like it was just yesterday i was teaching her how to breach me mammalian angel oh anyway uh so she's going to be working here during her summer vacation she's got a lot of fresh ideas to bring in some hungry customers
Bossy Boots,Pearl,hello daddy
Bossy Boots,Mr. Krabs,thar she blows
Bossy Boots,Squidward,spongebob do you realize what this means
Bossy Boots,SpongeBob,no new spatulas
Bossy Boots,Squidward,no it means some bratty teenager's coming in here to tell us what to do we can't have that we have seniority right
Bossy Boots,SpongeBob,right
Bossy Boots,Squidward,so we'll work together to protect our pathetic positions
Bossy Boots,SpongeBob,okey-dokey squidward and then we'll get those new spatulas
Bossy Boots,Mr. Krabs,all right men say hello to me pearl
Bossy Boots,SpongeBob,hello pole
Bossy Boots,Pearl,hi guys
Bossy Boots,Mr. Krabs,it makes me jolly as a roger to have you finally aboard the family business
Bossy Boots,Pearl,great dad because i have so many new ideas
Bossy Boots,Mr. Krabs,i can smell the money already i'll be in me office if you need me
Bossy Boots,SpongeBob,what's in the box
Bossy Boots,Pearl,it's a surprise
Bossy Boots,SpongeBob,i like surprises
Bossy Boots,Pearl,great then close your eyes
Bossy Boots,SpongeBob,i'm ready
Bossy Boots,Squidward,well i like it so far
Bossy Boots,Pearl,ta-daaaaaaaaaaa it's the new krusty krew uniform i designed it myself
Bossy Boots,Squidward,okay this is it spongebob now tell her how you really feel about that uniform
Bossy Boots,SpongeBob,okay squidward pearl this is the greatest uniform ever
Bossy Boots,Squidward,fish paste
Bossy Boots,Pearl,oh spongebob you look so adorable i could just eat you up
Bossy Boots,SpongeBob,sorry pearl but this item's not on the menu
Bossy Boots,Squidward,well i didn't think it was possible spongebob but you look even more ridiculous than usual
Bossy Boots,Pearl,don't feel jealous uncle squiddy i made one for you too
Bossy Boots,Squidward,don't bother only a fool would wear that
Bossy Boots,Mr. Krabs,avast ye shipmates don't these just shiver your timbers get that suit on sailor it's already been paid for
Bossy Boots,Squidward,rage fury irritation humiliation
Bossy Boots,Pearl,squidward is such a barnacle
Bossy Boots,SpongeBob,a stick in the sand
Bossy Boots,Pearl,but not you spongebob you are full of style
Bossy Boots,SpongeBob,me really
Bossy Boots,Pearl,totally s b you ooze fashion and i've got some completely coral concepts for this old joint and i'm going to need someone with your kind of talent to help me
Bossy Boots,SpongeBob,well i have been trying to get mr krabs to make a few changes around here
Bossy Boots,Pearl,why with my girlish instincts and your um sponginess we'll turn this worn-out lunch wagon into a teenage paradise
Bossy Boots,Pearl,spongebob what do you like better the kutie krab or the kooky krab
Bossy Boots,Squidward,for what dare i ask
Bossy Boots,Pearl,our new name for our new look i mean the krusty krab has got to go who wants to eat at a place they think is crusty bleh
Bossy Boots,Squidward,well sure it's a terrible name but this is a terrible place therefore the name should be left alone right spongebob
Bossy Boots,SpongeBob,i got it how about the kayate krab
Bossy Boots,Pearl,hmm how about the kissy krab
Bossy Boots,SpongeBob,the king krab
Bossy Boots,Pearl,the kandy krab
Bossy Boots,SpongeBob,the kool krab or the kowboy krab the kurly krab the kreepy krab the killer krab
Bossy Boots,Pearl,aaah no
Bossy Boots,SpongeBob,you're right too scary
Bossy Boots,SpongeBob and Pearl,the kuddly krab
Bossy Boots,Millie,it's a shame old man krabs sold the krusty krab
Bossy Boots,Fred,that's a darn shame hey lady do you know where we can get something to eat around here
Bossy Boots,Squidward,that's it i quit
Bossy Boots,Shelia,finally a cool place for teens to just you know hang out
Bossy Boots,SpongeBob,pearl you're a genius all these young hip new customers phooey on squidward he can't keep up with the times you're a true visionary pearl
Bossy Boots,Pearl,thank you spongebob i do have 20 20 vision
Bossy Boots,SpongeBob,well hip people have to eat too back to the grill the customers may be hot but my grill is hotter
Bossy Boots,Pearl,spongebob order up
Bossy Boots,SpongeBob,two sa-lads never heard of it i got to stay hip i don't want to end up like silly old squidward but what in the name of davy jones' locker is a sa-lad here you go two sa-lads
Bossy Boots,Pearl,ew gross those aren't salads take those back remove the bun the patty and the condiments
Bossy Boots,SpongeBob,but that just leaves the lettuce and the tomato
Bossy Boots,Pearl,exactly
Bossy Boots,SpongeBob,all right okay no buns that's hip no patties happenin ' oh yeah that's definitely the coolest meal i've ever saw
Bossy Boots,Nazz,this is so cool
Bossy Boots,SpongeBob,two salads that was awful i hope i never have to tear apart a perfectly good krabby patty ever again i don't think my heart can take it where's the grill
Bossy Boots,Pearl,come on spongebob you're a hip guy you know that fried foods are o-u-t out
Bossy Boots,SpongeBob,uh right on
Bossy Boots,Pearl,check out this new menu i came up with
Bossy Boots,SpongeBob,salad and tea but where are the krabby patties
Bossy Boots,Pearl,silly those aren't hip and you won't be needing that thing anymore i've got something more fun for you to do anyway
Bossy Boots,Gus,hey buddy you need a ride i was just on my way to the big doofus convention
Bossy Boots,SpongeBob,this is humiliating i'm a fry cook darn it you can take away my spatula but when you take away my dignity that's when i get mad i'm going to march right up to mr krabs' office and tell him this is just too much okay spongebob you can do this come on mr krabs can i talk to you
Bossy Boots,Mr. Krabs,come on in me boy have a seat
Bossy Boots,SpongeBob,thanks mr krabs
Bossy Boots,Mr. Krabs,don't you just love me new office pearly designed it for me
Bossy Boots,SpongeBob,mr krabs um i think we have a problem
Bossy Boots,Mr. Krabs,isn't that the neatest 40 chair you ever sat in
Bossy Boots,SpongeBob,sure mr krabs but i've got some bad news
Bossy Boots,Mr. Krabs,how about my cuddly executive buddy reduces stress for only five easy payments of 9 95
Bossy Boots,SpongeBob,mr krabs pearl is ruining the krusty krab
Bossy Boots,Mr. Krabs,what why pearl is saving the krusty krab i mean the kuddly krab what would we do without these beautiful 20 sea unicorn wall hangers how could we ever survive without these 35 heart lights how could we go on without a sea fern on every last table it's hip it's coral it's it's losing money oh you're right spongebob but i can't fire me pride and joy it'll break her fragile little heart what am i going to do
Bossy Boots,SpongeBob,there there mr krabs i'm sure there's another way
Bossy Boots,Mr. Krabs,that's it boy
Bossy Boots,SpongeBob,what's it
Bossy Boots,Mr. Krabs,you could fire her it's ok if she hates you
Bossy Boots,SpongeBob,that's not what i said sir
Bossy Boots,Mr. Krabs,great then it's all settled you fire pearly i'll wait in me office
Bossy Boots,Pearl,totally rude spongebob
Bossy Boots,SpongeBob,pearl can i see to you in the kitchen for a second
Bossy Boots,Pearl,sure spongebob
Bossy Boots,SpongeBob,how am i going to break it to her i've never fired anyone before i just got to say it pearl you're fired okay here it goes
Bossy Boots,Pearl,oh spongebob
Bossy Boots,Pearl,i can't take it anymore nothing i do is working
Bossy Boots,SpongeBob,sure it is pearl look at all the hip young people eating sa-lads
Bossy Boots,Pearl,no don't you get it i've been trying to get fired since day one i was only pretending to like this place to please daddy this job is cutting majorly into my social life oh spongebob what should i do
Bossy Boots,SpongeBob,i got it i can pretend to fire you i'll take the heat from old man krabs later
Bossy Boots,Pearl,gosh you'd really do that for me you're a great pal spongebob how can i ever thank you
Bossy Boots,SpongeBob,stop trying to break me in half
Bossy Boots,Pearl,deal oh boy
Bossy Boots,SpongeBob,okay pearl we've got to make this convincing pearl i need to have a word with you
Bossy Boots,Mr. Krabs,oh no here it goes i don't know if i can bear to listen
Bossy Boots,SpongeBob,it's not that you haven't done a good job around here it's just that
Bossy Boots,Mr. Krabs,don't be too hard on her now why does it have to be this way it's for the best
Bossy Boots,SpongeBob,well we feel it might be in everybody's best interest if
Bossy Boots,Mr. Krabs,i can't let him do this get on with it spongebob
Bossy Boots,SpongeBob,pearl you're fired
Bossy Boots,Pearl,thanks spongebob come on gang the mall awaits
Bossy Boots,SpongeBob,hey mr krabs i did it
Bossy Boots,Mr. Krabs,oh pearly is that a 20 oh spongebob how could i have done such a thing to me own flesh and blood
Bossy Boots,SpongeBob,there there mr krabs pearl took it just fine in fact she seemed sort of happy
Bossy Boots,Mr. Krabs,really
Bossy Boots,SpongeBob,she's off to bigger and better things
Bossy Boots,Mr. Krabs,that's me old girl tough as nails just like her old man but how am i going to get my money back for all this stuff
Bossy Boots,SpongeBob,isn't this great gary and it only cost me one year's salary
Bossy Boots,Gary,meow
Big Pink Loser,Narrator,welcome to bikini bottom where can be found some of the finest specimens of undersea life well you know
Big Pink Loser,Patrick,an award i never got an award before eeeee look rock i got an award jellyfish i got an award island i got an awar i gotta show spongebob
Big Pink Loser,SpongeBob,hold still gary
Big Pink Loser,Gary,meow
